FromZone,ToZone,ArHour,Type,Dir,Lane,RevWght
5113,4608,10,Loaded,NB,GP,53.9389984
5298,4597,11,Loaded,NB,GP,47.7582467
5223,4624,6,Loaded,NB,GP,294.0074333
5297,4531,7,Empty,NB,GP,58.80514712
4830,4641,7,Loaded,NB,GP,48.69315093
5286,4590,7,Loaded,NB,GP,48.69315093
5297,4644,8,Empty,NB,GP,24.30705675
4830,4659,8,Loaded,NB,GP,24.30705675
5110,4644,8,Loaded,NB,GP,24.30705675
5297,4653,8,Empty,NB,GP,24.30705675
5223,4643,8,Loaded,NB,GP,24.30705675
5311,4590,8,Loaded,NB,GP,20.12727185
5311,997,8,Loaded,NB,GP,20.12727185
5243,4653,8,Loaded,NB,GP,20.12727185
5297,4608,9,Loaded,NB,GP,17.21000613
5199,4653,9,Empty,NB,GP,17.21000613
5211,4644,9,Empty,NB,GP,17.21000613
5306,4608,9,Loaded,NB,GP,17.21000613
5297,4633,9,Loaded,NB,GP,17.21000613
5311,4590,9,Loaded,NB,GP,14.25061354
4732,4608,9,Loaded,NB,GP,14.25061354
5286,4643,9,Loaded,NB,GP,14.25061354
5297,4653,9,Loaded,NB,GP,14.25061354
5297,4653,9,Loaded,NB,GP,14.25061354
5297,4644,10,Loaded,NB,GP,20.30391974
4706,4627,10,Empty,NB,GP,20.30391974
4830,4608,10,Loaded,NB,GP,20.30391974
4740,4644,10,Empty,NB,GP,20.30391974
5306,4631,14,Loaded,NB,GP,17.69206869
5306,4644,10,Loaded,NB,GP,16.81250498
5297,4608,9,Loaded,NB,GP,17.26381522
5311,4595,10,Loaded,NB,GP,16.81250498
5306,4631,10,Loaded,NB,GP,16.81250498
5297,4653,11,Empty,NB,GP,17.10367019
5299,4653,15,Empty,NB,GP,15.15969946
5286,4653,11,Loaded,NB,GP,17.10367019
5297,4607,11,Loaded,NB,GP,17.10367019
5311,513,11,Loaded,NB,GP,14.16256289
4878,4183,11,Loaded,NB,GP,14.16256289
5297,4653,15,Loaded,NB,GP,12.55287284
5308,1714,11,Loaded,NB,GP,14.16256289
5297,4590,11,Loaded,NB,GP,5.101591193
4716,4643,11,Loaded,NB,GP,14.16256289
5311,4626,11,Loaded,NB,GP,5.101591193
5223,4652,12,Loaded,NB,GP,25.69894758
5297,4608,12,Loaded,NB,GP,25.69894758
5311,4595,12,Loaded,NB,GP,25.69894758
5286,4540,12,Loaded,NB,GP,25.69894758
5311,4595,12,Loaded,NB,GP,7.665344522
5110,4653,12,Loaded,NB,GP,7.665344522
5297,4544,12,Loaded,NB,GP,7.665344522
5311,4590,12,Loaded,NB,GP,7.665344522
4830,4653,12,Loaded,NB,GP,7.665344522
5306,4631,12,Loaded,NB,GP,7.665344522
5311,4590,12,Loaded,NB,GP,7.665344522
